id|custom_title|stubhub_title|vividseats_title
701562|Toronto Blue Jays at Baltimore Orioles (Wednesday April 25, 2012)|Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!|Toronto Blue Jays at Baltimore Orioles
701563|Texas Rangers at Baltimore Orioles (Tuesday May 8, 2012)|Baltimore Orioles vs Texas Rangers [5/8/2012] Tickets at StubHub!|Texas Rangers at Baltimore Orioles
701564|Toronto Blue Jays at Baltimore Orioles (Tuesday April 24, 2012)|Baltimore Orioles vs Toronto Blue Jays [4/24/2012] Tickets at StubHub!|Toronto Blue Jays at Baltimore Orioles
701565|Texas Rangers at Baltimore Orioles (Wednesday May 9, 2012)|Baltimore Orioles vs Texas Rangers [5/9/2012] Tickets at StubHub!|Texas Rangers at Baltimore Orioles
701566|Oakland Athletics at Baltimore Orioles (Friday April 27, 2012)|Baltimore Orioles vs Oakland Athletics [4/27/2012] Tickets at StubHub!|Oakland Athletics at Baltimore Orioles
701567|Toronto Blue Jays at Baltimore Orioles (Thursday April 26, 2012)|Baltimore Orioles vs Toronto Blue Jays [4/26/2012] Tickets at StubHub!|Toronto Blue Jays at Baltimore Orioles
701568|Minnesota Twins at Baltimore Orioles (Saturday April 7, 2012)|Baltimore Orioles vs Minnesota Twins [4/7/2012] Tickets at StubHub!|Minnesota Twins at Baltimore Orioles
701569|Oakland Athletics at Baltimore Orioles (Sunday April 29, 2012)|Baltimore Orioles vs Oakland Athletics [4/29/2012] Tickets at StubHub!|Oakland Athletics at Baltimore Orioles
701570|Minnesota Twins at Baltimore Orioles (Friday April 6, 2012)|Baltimore Orioles vs Minnesota Twins [4/6/2012] Tickets at StubHub!|Minnesota Twins at Baltimore Orioles
701571|Oakland Athletics at Baltimore Orioles (Saturday April 28, 2012)|Baltimore Orioles vs Oakland Athletics [4/28/2012] Tickets at StubHub!|Oakland Athletics at Baltimore Orioles
701572|New York Yankees at Baltimore Orioles (Monday April 9, 2012)|Baltimore Orioles vs New York Yankees [4/9/2012] Tickets at StubHub!|New York Yankees at Baltimore Orioles
701573|Minnesota Twins at Baltimore Orioles (Sunday April 8, 2012)|Baltimore Orioles vs Minnesota Twins [4/8/2012] Tickets at StubHub!|Minnesota Twins at Baltimore Orioles
701574|New York Yankees at Baltimore Orioles (Wednesday April 11, 2012)|Baltimore Orioles vs New York Yankees [4/11/2012] Tickets at StubHub!|New York Yankees at Baltimore Orioles
701575|New York Yankees at Baltimore Orioles (Tuesday April 10, 2012)|Baltimore Orioles vs New York Yankees [4/10/2012] Tickets at StubHub!|New York Yankees at Baltimore Orioles
701576|Texas Rangers at Baltimore Orioles (Monday May 7, 2012)|Baltimore Orioles vs Texas Rangers [5/7/2012] Tickets at StubHub!|Texas Rangers at Baltimore Orioles
701577|Texas Rangers at Baltimore Orioles (Thursday May 10, 2012)|Baltimore Orioles vs Texas Rangers [5/10/2012] Tickets at StubHub!|Texas Rangers at Baltimore Orioles
701823|Philadelphia Phillies at Miami Marlins (Saturday September 29, 2012)|Miami Marlins vs Philadelphia Phillies [09/29/2012] Tickets at StubHub!|Philadelphia Phillies at Miami Marlins
701824|New York Mets at Miami Marlins (Friday May 11, 2012)|Miami Marlins vs New York Mets [05/11/2012] Tickets at StubHub!|New York Mets at Miami Marlins
701825|Washington Nationals at Miami Marlins (Wednesday August 29, 2012)|Miami Marlins vs Washington Nationals [08/29/2012] Tickets at StubHub!|Washington Nationals at Miami Marlins
701826|New York Mets at Miami Marlins (Monday October 1, 2012)|Miami Marlins vs New York Mets [10/01/2012] Tickets at StubHub!|New York Mets at Miami Marlins
